20191026,沙坪坝,磁器口,国富沙磁巷正规三房 看磁器口 视野好,110万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 79.26平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-923aab79-39ab-42e9-b765-775812a44ad8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,中间楼层 侧看江 视野好 交通便利,150万,中楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 94.31平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_98gkMdn26.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷清水户型，户型方正，视野开阔,119万,高楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 79.23平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-3bc10aac-6ebc-4daf-bcb8-6e4a2f524c20.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,高楼层 视野好 配套齐全 交通便利 住家方便,120万,高楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 80.4平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_457azpic2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷   三房两厅两卫 朝小区中庭,146万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 95.61平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-39563cd5-7a81-4d9c-bec8-6c152227068a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,临江小区+正规两房+总价低+户型好,85万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 56.71平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_QnmglQluK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,三房户型，格局方正，一线江景房 视野开阔 安静舒适,155万,高楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 96平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-10b30e3b-6c6d-473f-b456-5a6c223a895b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,临江两房户型方正，带院馆 ，采光好,125万,高楼层(共32层)                                                    | 2017年建 |                                 2室1厅 | 80平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f925f039-3323-460e-8692-41206c1a4fbf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路磁器口清水三房，有阳台，楼层适中，户型方正。,145万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-aa5b6102-aae4-4f35-86c8-7810a4760058.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,滨江路国富沙磁巷 清水山房 户型方正 采光好 房龄新,130万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 85平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c06d4c95-88d4-43ab-a338-0e9cd57e3e8f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路新小区中高楼层视野好 清水房 可自主装修,90万,低楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c6f6303c-fff3-4dd4-87f7-b3e0f6a3e5ab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷    户型方正采光好  视野好,223万,低楼层(共32层)                                                    | 2017年建 |                                 4室1厅 | 118.37平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-24cde2c5-edc3-4887-b6b5-7a727ac15ab2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房是清水房 可以随意打造自己的风格 楼层视野都不错,160万,低楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 95平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_3P5R9tr6Q.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 交通方便 配套齐全,93万,高楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 57平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d5777bb0-6854-44b8-86ba-c7ff0275e172.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口沙磁巷 一线江景房 正规三房 居家安静 出行便利,172万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 104.36平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_UlIWRCt57_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,精装三房，户型方正，采光好，居家安静。,140万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 83平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-116218e4-b7af-408d-b713-9f4edafc7724.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷小三室 户型方正 视野开阔  看江 配套完善,136万,高楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 84.4平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-e5601243-9d81-4b56-a958-b651bcc136e6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路磁器口清水正规三房，江景房，楼层适中户型方正,165万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 95.99平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-eae3fbe2-af53-4c84-ab55-7a5b5ed63c41.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷清水小三房户型 高楼层 视野无遮挡 住家安静,125万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 79.71平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-2f3078bc-b451-4090-88fc-555a20525c8a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷清水三房 住家安静舒适 户型方正,145万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 96.2平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-bb36f0d3-8aca-41b3-b474-ae87f91da856.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷小三房 清水 户型方正,135万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 79.23平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-5f5a3dbd-b1dd-45ec-907f-07059fda5b6d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷正规小两室，户型方正，朝向安静,90万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 56.76平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d94f89f7-e366-4ee5-b9d8-877a6c4db10a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水三房，高层，次新，方便自住装修，产权清晰，,128万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78.9平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-49996b36-381e-4549-9520-15547eaa21cc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷小三室  户型方正  看江 视野开阔,130万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78.93平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-e7554d51-8bed-42e6-9a2f-52c995d18b40.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,住家装修 交通方便 户型方正 看磁器口,135万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 79.23平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_42BFbbuJb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 沙磁巷大露台小三房 业主诚心出售 看房方便,140万,低楼层(共29层)                                                    | 2017年建 |                                 3室2厅 | 77平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-00f604b9-63c9-4daf-bb49-8bdac9dce10f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水三房，高层，次新，产权清晰。,165万,中楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 96.6平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-7b62b40e-3aff-4a4e-97c4-31ffef541b15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 沙磁巷清水三房 看中庭 安静  看房方便,124万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c28b796a-a2ef-40fc-8067-f58e32c52c1d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷小三室 户型方正 视野开阔 采光充足,130万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78.93平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_llxjLkwVS.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水房可随意装修，户型方正 居家安静 业主诚心卖,125万,低楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 79.26平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-259c4328-1fa5-4686-889b-6c5694aaf1a8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 2室2厅 西北,127万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 78.94平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-82ee2472-cec4-4dea-ac76-5f13d8a2479b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 2室2厅 东,150万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 96.57平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_M53pTDKwU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,高楼层视野好 毛坯房可随自己喜好装修 配套齐全,135万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_eR4OCGvhp.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,交通方便 配套设施齐全 离磁器口近,127万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 79.26平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_mFH7RXSsE.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房是清水房 可以随意打造自己的风格 楼层好,132万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-140dcb42-b00c-4ca4-b99d-180ea431611e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,举步沙滨路 嘉陵江畔 风景优美 户型方正 出行便捷,125万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78.96平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-3e50a920-506d-4dd0-97cb-6fad162041bd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 东,134万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e8628009-6e99-4c90-9112-63216f179019.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,依凤凰山，傍嘉陵江，高档住宅，配套全面，玩磁器口,125万,低楼层(共29层)                                                    | 2017年建 |                                 2室1厅 | 80平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a78920bc-4a59-40b0-9e43-8af2dda48941.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷清水小三房 视野开阔  采光充足  看房方便,130万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 79.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b2cb5f95-0359-4f5d-bb96-688aaf1c9c53.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,正规两房带院管清水户型，楼层适中,130万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 81平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-da1622ad-f423-4035-aec5-eb2357d050c9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水三房，高层，次新，方便自住装修，产权清晰。,135万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 85平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-edd92675-8d8d-4c76-8d71-2746fc0584b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙坪坝磁器口轻轨站出口 正规两房 户型方正出行方便,90万,中楼层(共11层)                                                2室1厅 | 66.93平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/448d897d-563d-4e3b-9cb2-b9ac289d198b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 精装三房两卫 家具家电齐全 看中庭看江哦,158万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 96平米                                  | 东北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 精装修 三房 采光充足 视野开阔,128万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 76.79平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/38c8d0c8-32e3-425c-8fb3-885321020dac.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,楼层适中，视野开阔，户型方正，带220平的露台。,300万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 119.96平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 西南,116万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.6平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/7151af34-ff0e-4efa-b976-d7b471e3b825.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,可随意装修 户型方正 采光充足,88万,低楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 56平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/rsp_pic_upload3316ee7d-33b8-4694-8a5e-0a47eaef32d6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,高楼层 视野好 采光充足 小区配套齐全新上,142万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 76.8平米                                  | 西北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙磁巷小三房 户型方正 简单装修 业主诚售,120万,中楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 79.71平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/c6de7ce7-96ab-489a-8111-0f86fc5718cb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 东新上,158万,低楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 96平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷清水房诚心出售。不接受按揭,105万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 56.69平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/ff53df6f-238f-44a1-85d6-4e401230858c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口次新小区 近轻轨 俯瞰景区 业主诚心出售,130万,高楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 76.79平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,高楼层 视野好 采光充足 小区配套齐全,150万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 84.93平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,户型方正 采光充足  视野开阔可看江业主诚售,175万,中楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 94.31平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/4865b1f0-5d0a-4f46-99e1-002922d4aef2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,高楼层 朝南 视野好 采光充足 清水可自装,135万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 80.4平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,举步滨江路，环境优美，户型方正，拎包入住新上,138万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 77平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 户型方正 配套成熟 出现方便,135万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 80平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/6fea7f14-eba5-498b-8ca1-e5bb14f76126.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷清水户型，户型房子，视野开阔,125万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 84.4平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/aa6ae3dd-cb2f-4b55-9964-56deba067dfd.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口旁 采光充足 居家安静 出行方便 清水房可随意,137万,高楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 79.23平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,磁器口三室两卫，业主诚心出售。,148万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.6平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,清水三房，视野很好！业主诚心出售！,120万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙滨路上  国富沙磁巷 精装小三居  正朝磁器口古镇,135万,低楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 77.68平米                                  | 北,https://ke-image.ljcdn.com/500000-frame/08b394af-bfee-49dd-89af-c28426311167.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 西南,170万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94平米                                  | 西南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,简约装修，家电齐，采光良好，朝中庭。,130万,低楼层(共29层)                                                    | 2017年建 |                                 3室2厅 | 80.15平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/rsp_pic_upload13fe5c7b-0023-4e7a-bf77-4b3177ed3233.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路 国富沙磁巷 小三房 户型方正 朝向安静新上,138万,低楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 80.34平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,高楼层 朝江视野好  住家安静 带装修新上,140万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80平米                                  | 东北,https://ke-image.ljcdn.com/500000-frame/3371c281-cd0b-492a-abf3-4794984646a2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 西北新上,135万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80平米                                  | 西北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 2室2厅 西南新上,140万,高楼层(共29层)                                                    | 2017年建 |                                 2室2厅 | 79平米                                  | 西南,https://ke-image.ljcdn.com/hdic-frame/039ab4ba-45e7-48da-8a3f-78dd3ec56153.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 2室2厅 东新上,130万,中楼层(共30层)                                                    | 2017年建 |                                 2室2厅 | 77.1平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,高楼层 视野好 正看江 带装修 小区配套齐全,140万,高楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 80.6平米                                  | 东北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 东,165万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 95.6平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/470d09f6-d5d2-46a4-b643-0dd5b322cdf0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口次新小区 沙磁巷正看江刚需两房 俯瞰磁器口景区,145万,中楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 80平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 2室2厅 西北,140万,中楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 76.79平米                                  | 西北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 2室2厅 东,135万,低楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 84.43平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,交通方便 住家装修 户型方正 视野充足采光好,160万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 81平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,清水三房，视野开阔，业主诚心卖。,130万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 83平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,清水房可随意装修，户型方正 ，居家安静 ，出行方便,140万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,磁器口旁，有装修3房，小区房龄新,150万,高楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 80.65平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/fb466247-99cb-4a2b-a76d-f276716079be.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水三房  朝向安静 户型方正,140万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.6平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷正规三房 清水房 临磁器口,125万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 77平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/f8126b68-5189-4a8b-8df2-ea18f19b0635.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,大社区 古镇磁器口 中庭朝向 游玩一体,140万,中楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 78.57平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/e31288d7-6240-4c1b-af43-7d13a16bf050.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,正规两房高层视野  近嘉陵和磁器口 环境优美 安保能强,135万,高楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 76.79平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/170120ae-c82f-4232-bd2c-c5bc8d9bb73b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路 国富沙磁巷 小三房 户型方正 朝向安静新上,160万,低楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 94.68平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙坪坝 童家桥，精装两房出售，随时看房,150万,中楼层(共11层)                                                2室1厅 | 57平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,磁巷三房 可随意装修 户型方正 采光充足 业主诚售,200万,高楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 84平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-2b1b96c9-ff49-4fe3-a248-544dd68d3669.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,楼层适中，视野开阔，户型方正，带85平的露台。,190万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 77.68平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,国富沙磁巷 3室1厅 南新上,150万,低楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 78平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙坪坝区磁器口 国富沙磁巷 交通方便 配套齐全新上,185万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 95平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙磁巷精装修小两房，户型方正。,100万,低楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 西北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙磁巷正规二室 户型方正 住家精装修 业主诚售,160万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 80平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,沙坪坝,磁器口,沙滨路新小区小两房 清水 可以自主装修,100万,低楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
