20191026,渝北,北环,可住家可办公 轻轨+公园+龙湖品质 70年产权,61万,中楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3e5a56e1-a15d-4666-8800-48677a509bbc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,两江新区，朝南  两房一卫 住家装修,136万,中楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68.07平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-81544117-8e85-4629-9420-8ad60108e924.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,劲力五星城 采光好 中间楼层 带星光指标 生活便利,143万,中楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 72.33平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/pc1_cdZW7qmsZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城五组团 住家3房 三条轻轨交汇处,208万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 121平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-8ccd4796-2ec2-4b72-a90c-de8439f6d0e0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,满五年带指标，正规两房两厅中高楼层采光好轻轨出行,140万,中楼层(共33层)                                                    | 2007年建 |                                 2室2厅 | 96.23平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_IqH1V4vy5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖MOCO办公下跃 使用面积面积大 可住家,115万,高楼层(共30层)                                                    | 2008年建 |                                 2室1厅 | 61.1平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-73d019f7-3086-4f77-a6d6-927700824a46.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶星座 正规单间配套 户型方正 采光充足,63万,中楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-131af084-64ae-499b-bc2f-7369ba62816a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城 证在手 配套成熟,215万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-444dbe1f-5bcf-4d9d-a89f-d33c430f6632.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝好住宅 楼下永辉 星光在 生活、出行方便,95万,中楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 49.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_nWs9P6WD8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝轻轨站 单配户型 高楼层 视野采光好,71万,高楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 53平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_4CVT7VkGj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,创业公寓 看中庭 带指标  有车位 大4房,200万,低楼层(共16层)                                                    | 2002年建 |                                 4室2厅 | 147平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-d9066498-d1ca-4e95-ba83-2fb76b2c0e25.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,大三房，采光好，视野开阔，朝向好，不西晒,232万,中楼层(共31层)                                                    | 2005年建 |                                 3室1厅 | 120.02平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_bA5aaENbw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝三线轻轨，成熟配套，带花园大平层，上星光,280万,低楼层(共28层)                                                    | 2007年建 |                                 4室2厅 | 164平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_RKjwZeKwE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,大户型带露台  户型方正朝  住家安静,245万,低楼层(共31层)                                                    | 2007年建 |                                 4室2厅 | 139平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8970716d-4908-4b4a-a731-fc666a70f319.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质，全新精装修四房，纯中庭居家安静,350万,中楼层(共31层)                                                    | 2005年建 |                                 4室1厅 | 162.01平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-db9063c8-e4e7-4bb6-a675-a7453865e035.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城禧苑 配套成熟 精装修,215万,低楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_LoV760qqb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,劲力带阳台单配 朝南 交易方便 业主诚心出售,98万,高楼层(共31层)                                                    | 2011年建 |                                 1室1厅 | 49.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f528b12b-d62c-4f20-a0d2-34793ff33e1a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,轻轨旁  精装一房 交通方便 业主诚心,90万,高楼层(共31层)                                                    | 2011年建 |                                 1室1厅 | 48平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-abc491ec-39ca-4631-ab27-7fca271d37df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝500米处金科蚂蚁装修1房,80万,低楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 60.48平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-10a917ad-fe89-4ad3-8aed-229d4c564288.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环龙湖水晶郦城精装三房有车位 视野开阔,240万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-c12e3d3a-ba25-4072-bc5a-5d557f1a3812.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝精装小户型 临轻轨 出行购物方便,50万,低楼层(共25层)                                                    | 2008年建 |                                 1室0厅 | 34平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_z9rKLtm62_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,星光 单配带露台 冉家坝轻轨 下楼永辉 保养不错,88万,低楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 46平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_0aWurl32R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,让星光洒满童年 劲力五星城 朝中庭 三房 装修保持新,200万,高楼层(共27层)                                                    | 2011年建 |                                 3室1厅 | 88.06平米                                  | 南 西,https://ke-image.ljcdn.com/500000-inspection/prod-04e9c2eb-dfaa-43e0-a50f-819cff7a5a49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城 精装3房 看中庭 住家安静,220万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_vZG6LBItD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城郎苑 3室2厅 西南,230万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-05647943-1b88-47ee-b7c7-4e1335871347.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,指标单配，永辉楼上，近轻轨冉家坝站680米,88万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 46平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-0d5e7609-7ba5-43a0-96ad-43d9c1454776.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城 东南朝向三居室 生活方便,225万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_EJ5LKgwbg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,永辉楼上 劲力五星城两房 纯清水 中庭安静 星光在,138万,低楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-83f0170b-737c-42b6-9c66-086a6240f8e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝三线轻轨居家小户型 拎包入住 成熟配套,91万,中楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_c7UUaXwFn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,星光一房 精装修 拎包入住 三轻轨 成熟区域,108万,中楼层(共16层)                                                    | 2002年建 |                                 1室1厅 | 63平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-47dcb36e-97c2-4741-94af-2151a27e0828.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北区冉家坝 红星美凯龙 劲力五星城自由地,91万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 46平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-be0ad21f-99a9-40d8-bcb6-1a4679bb9d1c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 金科蚂蚁 小户型 位置方便 出行便捷,83万,中楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 62.32平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-30c5399c-cc3f-431a-8444-3a2dacb247be.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城静苑装修三房  东南朝向 视野好,260万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_yWpCMGIqP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,房屋视野开阔，交通便利，居家安静,300万,中楼层(共31层)                                                    | 2006年建 |                                 4室3厅 | 163平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_F62ixYCJO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,尚源装修三房，户型通透，看小区中庭，可以上星光,230万,低楼层(共16层)                                                    | 2006年建 |                                 3室2厅 | 125平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-769e2d68-d817-43da-be81-b2686ff1f390.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,让星光洒满童年 劲力五星城自由地 朝中庭 装修两房,136万,中楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_s5zehO9aR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,星光在 小两房，冉家坝轻轨，下楼就是永辉超市,138万,高楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-a07f2d65-6477-4b5a-ad35-c8375fa1a2fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝住家精装修房 拎包入住 正规三房,248万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-ea16aadc-2b80-421a-b928-4bf41c9e11b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,尚源印象 精装住家三房 位置安静 出行生活便利,225万,中楼层(共31层)                                                    | 2007年建 |                                 3室1厅 | 121.92平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-8c3d330e-95d4-402d-bdf9-328c4f03ff2f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,看中庭装修两房，生活出行十分便利,132万,中楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68.07平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_mA5ts55E3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,自由地 南向单配带阳台 采光好视野无遮挡 星光,94万,低楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 49平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e3b0be68-672b-4ce0-853a-2a3caf818800.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,精装修 中间楼层 安静 视野开阔,190万,高楼层(共16层)                                                    | 2002年建 |                                 3室2厅 | 131平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-173623aa-b788-4aa3-9b7c-f4d437fe941d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环劲力五星城自由地 朝中庭 住家装修两房,142万,低楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 69平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c265f8ed-cc33-4adc-b8ea-95e04e75d4fd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,金科蚂蚁正规一室 客厅能放一张床 出行方便 配套齐全,85万,中楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 60.48平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-bcf406d7-433d-4b17-8db1-ed44a4f6f2f7.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质楼房，标准单配，目前外租办公,70万,中楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 48.52平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_cm1jO5LSI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,让星光洒满童年 劲力自由地清水单配 小区楼下永辉,90万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 46.35平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-aecdcab6-b561-43b3-8e91-bed551519108.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝   朝中庭三房，龙湖物业，装修好新上,230万,中楼层(共16层)                                                    | 2007年建 |                                 3室1厅 | 130.74平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_lFL1cjxhJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,金科蚂蚁 1室0厅 东新上,45万,中楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 28平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_44FN96L10_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,视野比较开阔，采光充足，基础装修，简单改动,208万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/802db144-10ad-446f-92d7-acbfef635392.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北冉家坝三线轻轨 电梯洋房 带大露台 花园,368万,高楼层(共6层)                                                    | 2011年建 |                                 8室1厅 | 176平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_X6GTF1p3l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,洋房联排别墅小区，三跃户型，有露台，视野看公园,320万,高楼层(共7层)                                                    | 2004年建 |                                 4室2厅 | 260.17平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/d92b2886-0839-436a-a095-0f277fcbdd7d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶禧苑 正规三房 精装修保养好 居家安静,193万,高楼层(共31层)                                                    | 2006年建 |                                 3室1厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/1e793d68-a2af-43f9-90f1-bb48cfc41fbc.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 金科蚂蚁 跃层两房 使用面积大 位置方便,90万,高楼层(共31层)                                                    | 2008年建 |                                 1室2厅 | 52.96平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/055ecada-39dc-4347-9a8f-6a7aeb905a02.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,尚源印象 正规大三房 业主住家装修 户型方正 采光充足,200万,高楼层(共18层)                                                    | 2006年建 |                                 3室1厅 | 122平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/073cd92f-5d4d-4394-816f-ad24c997c419.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质房  业主诚心卖 小区绿化好,400万,高楼层(共31层)                                                    | 2005年建 |                                 5室2厅 | 185.8平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/f90fd0d6-6012-4af4-9ccb-dde18ac58a8b.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,此房板式结构，装修保持好 安静 环境好,360万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 176平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/05433839-bc64-4bb3-8745-ca48fb055c45.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质 一组团静苑 全朝中庭大四房 带入户花园,285万,高楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 144平米                                  | 北,https://ke-image.ljcdn.com/500000-frame/e048b861-541f-4f1c-b2e5-fdb646799858.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖品质楼盘水晶郦城中空跃层带车位挑高6米,340万,高楼层(共31层)                                                    | 2005年建 |                                 4室2厅 | 221.91平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/rsp_pic_upload26e0d15f-7597-4b4d-86bb-41c9cdb6fbe5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,尚源印象 住家精装正规两房  龙湖物业,160万,中楼层(共31层)                                                    | 2007年建 |                                 2室1厅 | 94.62平米                                  | 西南,https://ke-image.ljcdn.com/500000-frame/16283b13-ab1f-4024-adc1-6be6560be3742.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶星座 一室一厅诚心出售,65万,高楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/aa8a29ca-d847-4648-8956-b26c097d0008.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北冉家坝轻轨好房  劲力五星城东南朝向全看中庭,260万,中楼层(共28层)                                                    | 2007年建 |                                 5室2厅 | 164.22平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/7b9bb3db-c9d6-4330-bed7-5e2cfcae5b3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,金科蚂蚁 温馨小户 家电齐全 拎包入住,78万,低楼层(共31层)                                                    | 2008年建 |                                 1室1厅 | 53平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_Tw3IQ6uTb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,单间配套，近轻轨，商圈成熟交通便利,42万,低楼层(共25层)                                                    | 2008年建 |                                 1室0厅 | 28平米                                  | 西,https://ke-image.ljcdn.com/hdic-frame/07fbed65-0701-421b-9e11-41af57875b5c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖品质 通车库  朝中庭 正看水景 精装三房,235万,高楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/hdic-frame/b2a0e77c-de94-4ab6-833f-41df033e7fab.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 冉家坝 龙湖水晶星座 标准单间配套,68万,低楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 47平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/5bbc97e9-1537-49f0-8c44-98747567e512.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,高楼层 视野采光好 装修不错 拎包入住,73万,高楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_u72i5rh3w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖moco 办公装修单配 方便出租 采光好,75万,低楼层(共37层)                                                    | 2008年建 |                                 1室0厅 | 41.24平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/8dbbe6c8-aa00-4047-a6eb-536767d325c2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,业主诚心出售  诚心出售  诚心出售,85万,低楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 61平米                                  | 东南,https://ke-image.ljcdn.com/500000-frame/dd604e63-d551-40ff-8010-6b768116fc6d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,此房是05年建成，标准的单间配套端头，水电气三通,73万,高楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 51.66平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/6d84ffd3-c1b7-4e15-b419-3e8c72ed74ff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,劲力五星城自由地 1室1厅 东南,92万,高楼层(共31层)                                                    | 2011年建 |                                 1室1厅 | 46平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/fe66ac5f-e167-4972-a150-2166425fd636.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶星座 正规单间配套 户型方正 采光充足,65万,高楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 48平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/1b691ccc-f695-4619-af75-62cef12dc07b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖品质 下跃户型 配套成熟 交通便利,110万,中楼层(共30层)                                                    | 2008年建 |                                 2室1厅 | 63平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/2a3a1aeb-8af2-45e3-8a4e-b8774b79f85d.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,枫林秀水清水顶跃 品质住宅 繁华位置纵向安静居家,330万,高楼层(共7层)                                                    | 2004年建 |                                 4室2厅 | 260.17平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/827fad44-f62b-4dd5-891c-8a174c94b85b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,露台洋房 星光配套 地铁出行 天街购物 临三大公园,426万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 177平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/e8203be7-7acf-41bb-8536-a3c0e0dff70d.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北 冉家坝 北环 龙湖MOCO 交通生活便利,68万,低楼层(共37层)                                                    | 2008年建 |                                 1室0厅 | 35.19平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/24a580c6-e6ab-4433-b907-49572c479aeb.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦苑静苑装修三房  朝中庭  安静住家舒适,228万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-frame/17e030db-a786-41f5-ae20-a136ed0435623.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,正朝小区中庭 大四房 随时看房签约,195万,低楼层(共16层)                                                    | 2002年建 |                                 4室2厅 | 146.85平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/7d55f4b4-79ef-4f09-8a5f-dd3453601c1a.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝劲力五星城精装三房带入户院馆,230万,高楼层(共31层)                                                    | 2007年建 |                                 3室2厅 | 115平米                                  | 东北,https://ke-image.ljcdn.com/hdic-frame/9b4130d7-b23f-4981-a820-3f4312ae203a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶星座一房出售环线动歩公园轻轨站出口,70万,高楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 46平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/21c13da3-2803-40b4-a36e-78e4ec0550c5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,新南路五星城 精装舒适两房 出则繁华如则宁静,140万,中楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/12111d91-96f6-4348-8d78-957debea266a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,让星光洒满童年 劲力自由地 朝中庭 安静 装修两室,128万,高楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68平米                                  | 北,https://ke-image.ljcdn.com/hdic-frame/12111d91-96f6-4348-8d78-957debea266a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城禧苑 户型方正采光好  朝中庭安静,238万,中楼层(共31层)                                                    | 2006年建 |                                 3室1厅 | 120平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/24d6e09c-a1dc-4dd1-bfe2-9211a7b99f93.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北冉家坝龙湖水晶星座一房出售，配套齐全。,70万,中楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 49平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/e6fc011a-1965-418f-a135-49dd40f23126.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,可住家可办公 轻轨+公园+龙湖品质 70年产权,72万,高楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 49.99平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/e0369e46-7254-4466-9c42-1487fedf2e52.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖MOCO 办公装修 三条轻轨交汇处 交通便利,135万,中楼层(共24层)                                                    | 2008年建 |                                 3室2厅 | 72平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/f217bcbd-4dd8-4ed2-af3a-63c62897c1be.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,环线、5号线、6号线三轻轨交汇,86万,中楼层(共25层)                                                    | 2008年建 |                                 1室1厅 | 62平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/caa01f2c-0e6c-4a32-9af1-60e51711e720.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖MOCO 跃层两室 板式结构 采光通风好,120万,高楼层(共30层)                                                    | 2008年建 |                                 2室1厅 | 61平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/7ed91b2c-00c5-4808-b0e5-1bf5dc853bf7.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
