20191026,渝北,石子山,冉家坝 天邻风景 精装三房 视野开阔 采光很好 大阳台,135万,低楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 110平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-06d12ee0-2e39-44cb-bae6-6ddc672c80cc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北石子山体育公园龙湖品质横厅户型南北朝向视野好,220万,高楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 119平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-2dc3f743-586c-4bc0-adc9-01db30e2aa2c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,高楼层，龙湖源著北区三居室，朝南向,230万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 119.45平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3ca233f8-bd2d-4e25-8df9-1963958c0bbe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 龙湖源著 现代风科技感 拎包入住 品质保证,120万,高楼层(共39层)                                                    | 2015年建 |                                 1室2厅 | 58.43平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-8e4327b9-9e38-4cc6-af66-ce25d48b3606.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝天邻风景精装三房改两房，拎包入住,138万,高楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 93平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-cf057ebd-cbd7-4cb2-a1c6-aa6da5d6954d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,春麓苑 一楼洋房   前后花园  中庭位置 安静,315万,低楼层(共6层)                                                    | 2014年建 |                                 4室2厅 | 179.21平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-9c7d45db-7727-44c5-9081-84326a09f6f9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质楼盘，精装修两房，装修保养新，诚心卖,110万,中楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-41f943b4-b78d-457e-b8fe-c027d310052e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,春铭苑 带露台小洋房 板式结构 中庭位置 居家安静,205万,低楼层(共11层)                                                    | 2016年建 |                                 3室2厅 | 95.76平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-0bab332f-051a-4989-a730-d13137584963.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,二楼带地面花园，入户花园，带露台,290万,低楼层(共6层)                                                    | 2016年建 |                                 3室2厅 | 122平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-f445ac7d-400f-4779-b25a-d882e71aef15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 住家装修 品质洋房 视野开阔,410万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 150.46平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/pc1_1UdsoOqnU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,房屋满两年，户型方正，朝向好，采光好,194万,中楼层(共30层)                                                    | 2005年建 |                                 4室2厅 | 182.16平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3c44928f-fb5e-4299-93d3-f1d79da2020e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著北区精装修小两房，看中庭住家安静。,112万,中楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_8UqqT3Ns3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,北岸新洲  精装三房 户型方正  采光好 读星光,160万,高楼层(共26层)                                                    | 2008年建 |                                 3室1厅 | 98.08平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_9wz6fFV74_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景 欧式装修中间楼层 朝中庭朝东 出让地,198万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 150.7平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_i7lz8vMgE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,公园六栋 毛坯三室两卫 诚意出售 位置安静,240万,高楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 120平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_uOTbXOVmy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,石子山体育公园  龙湖源著精装一室诚售,82万,中楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-2b7b29ee-93a9-406a-b63a-5b331b8c43c3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,此房满两年，采光充足，精装修，品牌家电，交通便利,268万,高楼层(共32层)                                                    | 2008年建 |                                 4室2厅 | 124.74平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-7b656d53-0c34-425e-a8e2-9a89ea51cdf8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景 装修大三房  带家电  诚心出售,168万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 133平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-120abf13-4edb-44d8-b42b-c21b49c89c75.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 正规三房 住家装修 拎包入住,136万,中楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 122.73平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-097c2526-3f92-43f5-9e1d-751be594a732.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝天邻风景清水大三房，视野好,178万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 150.9平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4270fad1-308d-4251-bd8e-edc5e025c552.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝天邻风景精装三房，视野好,152万,中楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 104.78平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_1De27BCYD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,南北通透 看中庭 安静不吵闹 精装修 拎包入住,300万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 139平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_ihtaf0dmu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区中庭洋房+端户+视野开阔+有车位（独算）,350万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 145.02平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-b40e6c3b-b28b-4d71-bccf-fd58b90af6b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖物业 源著南区 装修两房 中间楼层,175万,高楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 86平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-898ada71-41ae-4a85-bbd5-c2db8ba4c00e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区花园洋房，带70㎡花园带地下室安静采光佳,380万,低楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 174.12平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9ec9f65d-e24d-43a4-967c-54acf5ad114e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,高楼层，视野好，朝南精装三房，户型方正,168万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 132.98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3dfa9cc5-274c-4108-b36a-c3671b47ab8a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质 独栋洋房 视野开阔 通风好,335万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 145.47平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/test-85c7cd37-75a0-4126-ab1f-daa6cdad3ce4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装大三房，全实木家具，户型方正带大阳台,220万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 161平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ff5bdce3-cc6f-49a3-8dfb-3aa029c7198a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 石子山体育公园旁 龙湖源著北区,153万,中楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 84.93平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-e6c2343c-8ba3-4aee-9f9a-2f2533b44780.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,正看体育公园，南北朝向，安静住家舒适.,360万,中楼层(共12层)                                                    | 2012年建 |                                 4室2厅 | 147.11平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_wdTOySyjr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质楼盘 精装一改二 采光好 出行方便,115万,高楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58.43平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-f2898aba-6805-4d0a-9cd8-1fb450244e40.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,跃层花园洋房，精装修，安静舒适,316万,低楼层(共11层)                                                    | 2008年建 |                                 5室2厅 | 116.23平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-63688e7c-ac6a-4d29-aa8d-264a32e5d601.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,高楼层，视野好，朝南精装三房，户型方正,168万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 132.98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3dfa9cc5-274c-4108-b36a-c3671b47ab8a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质 独栋洋房 视野开阔 通风好,335万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 145.47平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/test-85c7cd37-75a0-4126-ab1f-daa6cdad3ce4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装大三房，全实木家具，户型方正带大阳台,220万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 161平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ff5bdce3-cc6f-49a3-8dfb-3aa029c7198a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 石子山体育公园旁 龙湖源著北区,153万,中楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 84.93平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-e6c2343c-8ba3-4aee-9f9a-2f2533b44780.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,正看体育公园，南北朝向，安静住家舒适.,360万,中楼层(共12层)                                                    | 2012年建 |                                 4室2厅 | 147.11平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_wdTOySyjr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质楼盘 精装一改二 采光好 出行方便,115万,高楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58.43平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-f2898aba-6805-4d0a-9cd8-1fb450244e40.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,跃层花园洋房，精装修，安静舒适,316万,低楼层(共11层)                                                    | 2008年建 |                                 5室2厅 | 116.23平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-63688e7c-ac6a-4d29-aa8d-264a32e5d601.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景，一改二户型，户型方正，看中庭,86万,高楼层(共32层)                                                    | 2008年建 |                                 1室1厅 | 53平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c9ab0a26-e3f3-440a-92dd-fa59f06f9e77.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装大三房，住家安静，视野开阔,208万,高楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 150平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-f191a1c6-9814-4a28-8070-51e679ef2893.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,公园六栋，安静，中下楼层采光不影响,330万,低楼层(共33层)                                                    | 2011年建 |                                 4室2厅 | 172平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_vUJ1loIPc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著中庭洋房+双花园+地下室+精装+品牌家电+5房,580万,低楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 174.12平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1f8652b2-210a-46d4-9ca7-81df2389462b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝  三轻轨  出行方便  配套齐全,135万,低楼层(共28层)                                                    | 2008年建 |                                 3室2厅 | 124.25平米                                  | 西 西北,https://ke-image.ljcdn.com/hdic-frame/standard_4e44ff44-9f6c-457b-9eb2-1aef7bd9da5e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北盘溪路龙湖源著北区四楼洋房 带阳台带露台急售,330万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 150.46平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-c762b03f-9f2c-4feb-8c3b-aa087c6860cb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,石子山 龙湖源著北区 清水两房  中间楼层,153万,低楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 87.33平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_CVxTaGw80_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著精装单配+朝南+拎包入住+安静居家,92万,低楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-03311ed7-d64b-4417-83f6-03a9624cd091.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著三期精装小两室 户型方正  采光好,118万,高楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-bd23896c-9e13-44f0-b133-bc525807f33e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区精装 三房两厅一厨两卫,330万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 139.76平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_0LOqQCIBj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 龙湖源著北区 装修两房 中间楼层,158万,中楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 86平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_OjtycXnXI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江新区北岸新洲 当清水买 钥匙在手随时可看房,138万,高楼层(共27层)                                                    | 2008年建 |                                 2室2厅 | 103.28平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-d90b9009-9f31-4ac4-9296-d2917f1ac87d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,建面96/74的端头小三房 客厅朝东卧室朝南看体育公园,166.5万,低楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2296ff0c-b7ee-4d51-85e2-024961e2e694.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北盘溪路龙湖源著北区三楼洋房+带大阳台还带露台,380万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 164平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-cc5db2cf-97ad-451e-9412-479565985418.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝天邻风景朝南住家装修三房,165万,高楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 114.17平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_b62h9AaDJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,超大私人露台，舒适度极高的居家好房,330万,中楼层(共6层)                                                3室2厅 | 116.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_AqnZoJzIk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,正朝中庭，安静舒适，三房两卫带衣帽间储藏室,198万,低楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 151平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-3a89a8a2-cb94-49bf-9d74-761a8416db18.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区  龙湖源著南区 端头户型  采光好  小三房,205万,中楼层(共34层)                                                    | 2012年建 |                                 3室2厅 | 90平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-6ec37438-ba88-4c53-9c9a-e36ffd202415.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区两江春城春茗苑 清水三方双卫 中庭位置,200万,中楼层(共11层)                                                    | 2016年建 |                                 3室2厅 | 95.95平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_v7LSmm3Ih_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水叠拼别墅+配套成熟+改动性大+通透户型+采光好,255万,高楼层(共6层)                                                1室1厅 | 106.92平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/prod-4558de85-5cb4-4172-8407-6e31c5fcc788.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装轻轨两房，交通方便，住家安静。,115万,低楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 91.76平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_cEFaVrffh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 天邻风景 正规一室 中间楼层 住家安静,86万,高楼层(共32层)                                                    | 2008年建 |                                 1室1厅 | 53平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_oXVogRcDm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区一楼洋房带前后花园和地下室 此价带车位,380万,低楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 174.42平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-17831a1e-c034-43d0-96c6-4d8980a2a4fb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,体育公园旁 精装大两房 视野开阔,145万,中楼层(共27层)                                                    | 2008年建 |                                 2室2厅 | 103.28平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-797c62bd-e2c5-4aab-8876-d53d57abdf8c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著南区精装两房，满两年，证在手，交易方便,185万,低楼层(共34层)                                                    | 2012年建 |                                 2室1厅 | 87.65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_HPlFj2e90_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区清水小两房，视野开阔,125万,低楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 61.13平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_LrwnsJdiO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城 轻轨站旁 带前后花园 环境优雅 户型采光好,330万,低楼层(共6层)                                                4室2厅 | 158平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_lR3vme2dJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著（天街旁）环线旁（石子山体育公园旁）,160万,高楼层(共27层)                                                    | 2005年建 |                                 3室2厅 | 140.95平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-3f014d40-4dd0-4c04-a9e4-fd25caa94537.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,近轻轨 临天街 次新小区 三房户型 诚心出售 随时看房,180万,低楼层(共33层)                                                    | 2016年建 |                                 3室2厅 | 98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-7a679b92-e009-4300-aa8b-e6187ca2653f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,买的就是大户,图的就是省心,好房子,好价格!,210万,中楼层(共32层)                                                    | 2008年建 |                                 4室2厅 | 151.17平米                                  | 西南 西,https://ke-image.ljcdn.com/500000-inspection/prod-6e23360e-00e7-4b98-9088-92d4c2c48404.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区+端头三房+采光好,195万,低楼层(共34层)                                                    | 2012年建 |                                 3室2厅 | 91平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-612727a0-c24b-4511-ae29-164448637540.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖 源著北区，精装两房，诚心出售,165万,低楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 85平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-cc42651b-60f6-41b8-a041-197f160e0ae6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,正规朝南三房，中间楼层，户型方正，采光好,135万,高楼层(共26层)                                                    | 2008年建 |                                 3室2厅 | 98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_gOHyt1UM5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水两房（+院馆）视野开阔（交通便利）临石子山公园,175万,高楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 86.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-cfceef44-23b6-4d08-9385-a73e83a8887b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,正规三房两卫，户型方正，朝东中间楼层装修好,160万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 117.18平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-474bd6c7-10e0-45e1-ac3a-596c9a711563.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北盘溪路龙湖源著北区清水顶楼洋房，带双露台。,290万,高楼层(共8层)                                                    | 2011年建 |                                 3室1厅 | 121.95平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a5b83211-74a6-4426-b0cb-01fca0fb6c2f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城清水三房，诚心出售。。。,205万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 97.92平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-47111781-7ebc-4338-9588-5dbb147f3496.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装大三房，中庭位置，家电齐全，拎包入住,190万,中楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 124.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-59173b0d-e4fd-449a-ba9f-1f031ed5be33.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区  内圈位置 板式洋房,390万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 164平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_XxyOq86GJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 龙湖源著三期  朝南清水单配 户型方正,90万,低楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-62b90467-b0bc-488d-91f8-652db374f7f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝三轻轨 住家安静 户型方正,135万,中楼层(共28层)                                                    | 2008年建 |                                 3室2厅 | 123.72平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_p0c5LplVP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝+三轻轨+居家装修3房+拎包入住+方正户型+安静,135万,低楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 122.73平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-234965ca-caa9-43df-8f61-0d0c20f9bb09.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城春铭苑+精装三房大平层+户型方正,260万,高楼层(共11层)                                                    | 2016年建 |                                 3室1厅 | 95.95平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-32694927-b1cd-4546-928b-8603bde0deb6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区精装修看中庭三房安静,251万,中楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_i7BPWsX8x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,春麓苑一楼花园洋房 带车库 前后花园随时看房,390万,低楼层(共6层)                                                    | 2014年建 |                                 4室2厅 | 178.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ecefb4a4-b289-40bc-9dc1-3f76ba6fa28c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,北岸新洲 精装大3房  户型方正  通透户型  采光好,205万,低楼层(共11层)                                                    | 2008年建 |                                 3室2厅 | 116平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a5c6c086-9ca5-4f56-ae95-bffb64e8bada.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,清水跃层洋房，四房加书房，正南北朝向，看小区中庭,388万,高楼层(共7层)                                                4室2厅 | 170.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-816fc6d1-50c6-46f4-a41c-98b9fdf7a07e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
