20191026,江津,滨江中路,时代港湾三房两卫，户型方正，该房可以看江，看游泳池新上,105万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 118.56平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-3e6051f1-ce90-4bdb-830b-d9123e84b65c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 正看江四房  证在手 满两年,85万,中楼层(共33层)                                                    | 2012年建 |                                 4室2厅 | 141.69平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b0f4c0f2-4884-4a75-b81f-8ec3f2fe5752.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城一室一厅，户型可以，带家具家电,23万,高楼层(共33层)                                                    | 2009年建 |                                 1室1厅 | 28.35平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9e279c79-6695-442e-b509-a51a9209b92c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑精装大三房，一线江景房，户型方正，采光好,118万,低楼层(共33层)                                                    | 2012年建 |                                 4室2厅 | 141.69平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_UKbEIkS6X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房是清水三房，户型方正，带大露台，正看江,91万,高楼层(共33层)                                                    | 2007年建 |                                 3室2厅 | 138.61平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-acf6727c-5ed0-4376-9375-a1d1d50ed9e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾电梯改三房带装修业主安心出售,87万,中楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 96平米                                  | 东南 西南,https://ke-image.ljcdn.com/500000-inspection/prod-0fb33fff-2176-4a16-bd44-5917a2daf6ab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房是清水四房，户型方正，楼层低,93.8万,低楼层(共32层)                                                    | 2007年建 |                                 3室2厅 | 126.52平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4e46fa74-ada0-4a47-973a-7ff92c8692fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 住家 精装 4房 看江 看下水,120万,中楼层(共26层)                                                    | 2007年建 |                                 4室2厅 | 135平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ab2871b0-1255-4069-86bb-aac9e50a55f6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 带装修三房 满2年 证在手,58万,低楼层(共18层)                                                    | 2007年建 |                                 3室2厅 | 93.97平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/e4d93850-1327-4748-b627-a6a3746a6561.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房位于琅山地带，出行生活相当方便，价格便宜。,21万,高楼层(共7层)                                                    | 2007年建 |                                 1室1厅 | 44.1平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/838e5fe6-023c-46af-b7ee-98379ff5510c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑住家装修  正看江  客厅带阳台视野无遮挡,86万,中楼层(共26层)                                                    | 2007年建 |                                 4室2厅 | 167.37平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/eb99b7fb-1d72-481d-b04e-fffa2e1ea93c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑可看江四房，带装修，带大入户花园+拎包入住,93万,高楼层(共32层)                                                    | 2007年建 |                                 4室2厅 | 166平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/73afb3ba-f0bb-4091-a703-cda85030d742.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房是装修四房双卫，住家装修正看江,105万,中楼层(共26层)                                                    | 2007年建 |                                 4室2厅 | 151平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/75c218fa-5d7a-447d-b881-c464e22b12f8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑精装跃层，正看江，视野开阔,126.5万,高楼层(共26层)                                                    | 2007年建 |                                 3室2厅 | 151.92平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/b553b6c4-28c7-4622-80a8-e8a00bfb9fe9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城3室，，3室，离滨江路近,82.8万,中楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 117平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/37543ff2-29d0-46d9-8770-8cec3ea17722.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,滨江路正临江三室二卫电梯房，户型采光不错,126万,低楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 130.76平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/af2f8cbd-6bf1-48d7-a5f9-f605c2af3744.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房视野开阔 配套设施齐全 交通便利,19.6万,低楼层(共33层)                                                    | 2009年建 |                                 1室0厅 | 29平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/e772a2b3-8b9c-4431-928c-d5edb8e1ddf1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑看江两房+带家具家电+业主证在手,68.8万,低楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 94平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/ba457b21-f13b-45b2-aed5-119d22aa4b87.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 看江四房 中式风格装修满两年 错层结构,190万,中楼层(共32层)                                                    | 2007年建 |                                 4室2厅 | 172.88平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/9430fb63-aa29-4747-a497-de0822bbc3e3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,江津城区玉水湾带装修4房，带家具家电,123万,中楼层(共33层)                                                    | 2009年建 |                                 4室2厅 | 137.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/9d03fe89-c6a0-4b5f-9088-c33c28c0c742.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾装修三房，品质小区，配套齐全,80万,低楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 89.7平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/d2984657-a128-4aaa-8e60-6ce0ab25027d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房楼层好，带装修，采光充足，户型方正,42万,中楼层(共12层)                                                    | 2009年建 |                                 1室1厅 | 63平米                                  | 东南,https://ke-image.ljcdn.com/500000-frame/55cd7c82-422d-48e6-888c-3e4e1b154d4a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑精装看江4房 带屋顶花园,98万,高楼层(共33层)                                                    | 2012年建 |                                 4室2厅 | 73平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/66c12104-3ca7-4023-b7f4-1e757930bb09.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,精装户型方正，出行方便，小区绿化环境好.,80万,中楼层(共18层)                                                    | 2007年建 |                                 4室2厅 | 126.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/3c2d1788-5179-4f4d-a721-e35570965865.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾 精装修 三室两厅两卫 半园阳台,130万,低楼层(共12层)                                                    | 2009年建 |                                 3室2厅 | 139平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/08a5ea4f-d564-4947-9771-34c20e0c84cf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城带装修  家具齐全  业主安心出售,22万,高楼层(共33层)                                                    | 2009年建 |                                 1室0厅 | 28.35平米                                  | 西南,https://ke-image.ljcdn.com/500000-frame/f86d973c-9f58-4682-b92b-5463020b36e73.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾  三室带装修   居家方便,120万,中楼层(共12层)                                                    | 2009年建 |                                 3室2厅 | 135平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/bfea1f9f-0f1e-4ff8-9c76-9e926b5e2436.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城看江房，采光通透，大两室,68万,中楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 92平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,东和花园装修好的两房带书房，带家具家电。,69.5万,高楼层(共26层)                                                    | 2014年建 |                                 3室2厅 | 85平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,祥和佳苑装修小两房+证在手+带租约+看房子方便,35万,高楼层(共33层)                                                    | 2012年建 |                                 2室1厅 | 44.6平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,此房证满2年，采光很好.住家装修看房方便,68万,高楼层(共33层)                                                    | 2009年建 |                                 2室1厅 | 85平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,祥和佳苑 精装 大三房 正看江 视野效果好 无遮挡,118万,高楼层(共26层)                                                    | 2007年建 |                                 3室2厅 | 151平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,水映康城精装三房，证满两年，可看江,98万,低楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 130平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,长风社区 2室1厅 东南,31万,高楼层(共5层)                                                    | 1995年建 |                                 2室1厅 | 59.08平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,祥和佳苑3房视野开阔，采光好， 带家具家电，拎包入住,88万,高楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 92平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,时代港湾 简单装修可2改3户型  看江新上,72万,低楼层(共33层)                                                    | 2015年建 |                                 2室1厅 | 89.7平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,此房是清水3房，可按自己的风格装修，端户正看江,80.6万,中楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 112平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,时代港湾电梯小三房，带装修，家具家电带卖新上,82万,高楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 92.55平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,时代港湾精装小三房，小区环境好新上,85万,低楼层(共33层)                                                    | 2019年建 |                                 3室1厅 | 94.5平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,滨江中路,此房为清水两房，楼层低，总价低,38万,低楼层(共32层)                                                    | 2007年建 |                                 2室1厅 | 68.11平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-50ed6829-ddc9-4450-ab45-47cb8e363376.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
