20191026,江津,祥瑞片区,湖上带装修3居，拎包入住，满两年，户型方正,78.6万,低楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_r5wBTV1o5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,青木苑精装两房，装修保持较新，户型方正，采光不错。,58万,中楼层(共7层)                                                    | 2005年建 |                                 2室2厅 | 92.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4fba666e-6a95-404e-951b-5d120bab8427.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上住家装修 总价55万 视野开阔  满5年方便交易新上,55万,中楼层(共7层)                                                    | 2007年建 |                                 2室1厅 | 93平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-be1b49f2-16e3-44a0-8810-de2d8f97881d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,清水房，户型方正，采光充足，出脚方便,90万,高楼层(共28层)                                                    | 2009年建 |                                 4室3厅 | 176.19平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/test-cec381b2-3399-42c9-9a19-ee09f3d790d9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房是步行房，一梯两户，客厅带阳台，住家装修,71万,中楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 133.9平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_cAQ1X62tG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑使用面积大带顶楼出售家电齐全新上,72万,高楼层(共7层)                                                    | 2005年建 |                                 4室2厅 | 130平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-79aa498e-89d9-4cb8-b6fc-18c3b810d644.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华精装三房  视野开阔 使用空间大 小区环境好新上,78万,高楼层(共34层)                                                    | 2008年建 |                                 3室1厅 | 120平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b682b8d6-7aad-4f76-b5fd-2dc534a571a2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,此房满2年，无增值税，业主安心卖，家里都有人,81.8万,低楼层(共27层)                                                    | 2007年建 |                                 3室1厅 | 123平米                                  | 西,https://ke-image.ljcdn.com/hdic-frame/prod-30aed0ab-0244-45a6-abfc-e4860894498d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上住家装修三房装修保持较新带家具家可拎包入住新上,80万,中楼层(共7层)                                                    | 2007年建 |                                 3室1厅 | 108平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-13c4a2bc-aa54-4cea-82ce-bc29e76da7b1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上精装大三房 127.84平方单价6100元低楼层新上,78万,低楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 127.84平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/prod-bf585df4-7b8f-4476-9902-fb0fd1461de4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑   两室住家装修  保持新，采光良好,68万,低楼层(共32层)                                                    | 2011年建 |                                 2室2厅 | 85平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4c91d553-e3f4-4ff2-9bb1-68d94141083b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,住家装修两房，户型方正，采光好,55万,高楼层(共27层)                                                    | 2007年建 |                                 2室1厅 | 79平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/prod-e3dc382d-53c6-481f-9ef5-d4a3c3041013.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,满两年，住家装修，出行便利，有钥匙随时可看房新上,80万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 140平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_LtHIeC7q3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿小区清水大2房，户型方正，阳台宽大，采光好,55万,高楼层(共27层)                                                    | 2007年建 |                                 2室1厅 | 100.9平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/prod-b10bc99c-7ccc-42d3-80f3-02586989ad4a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,园丁大厦三房，出行方便，四周配套设施齐全,80万,中楼层(共28层)                                                    | 2009年建 |                                 3室2厅 | 128平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_0TjMDwIbA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,满2年无增值税，2层楼。视野开阔,52.8万,中楼层(共34层)                                                    | 2010年建 |                                 2室1厅 | 62平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/3c192b50-b2a5-4c88-b14b-d76f283ef3a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上精装两室 满五唯一免个税 户型方正 采光好,48万,高楼层(共7层)                                                    | 2007年建 |                                 2室2厅 | 86.62平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/d4a21761-74f0-4825-a843-580aa6436a0b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭三层的洋房，1楼带花园，带装修,283万,低楼层(共6层)                                                    | 2010年建 |                                 5室2厅 | 222.98平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/3bcc3983-7310-4185-936a-6f9d2e4ccfeb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭顶跃，视野佳，采光好，业主安心出售,150万,高楼层(共6层)                                                    | 2010年建 |                                 5室2厅 | 106平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/571c0927-b9d9-4963-8e3c-046440b43a3a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭三层电梯花园洋房加两个车位,195万,低楼层(共6层)                                                    | 2010年建 |                                 5室2厅 | 244.85平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/37f1aa36-4466-41cf-9e77-57db8264d028.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭跃层户型好 3楼层已经现浇好，直通车库很方便,195万,低楼层(共6层)                                                    | 2010年建 |                                 7室3厅 | 240平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/08f41915-3011-42c1-8114-9703cdbc6a1a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭跃层电梯房，带装修，看江,70万,低楼层(共34层)                                                    | 2010年建 |                                 2室2厅 | 68.7平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/5e24bc13-31d5-4dfb-9590-15c7eadff357.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,津华大厦住家装修电梯正三房，出行方便,78万,高楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 138平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/acf76d6b-8e05-4576-8056-78d36aaa531f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房是精装修的跃层两室，已满两年，无增值税,62.8万,中楼层(共34层)                                                    | 2010年建 |                                 2室1厅 | 62.55平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/3832e955-7d1f-4643-a91f-6617d123fe3d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑门，买来即可出租,105万,低楼层(共7层)                                                    | 2005年建 |                                 1室0厅 | 60.7平米                                  | 西南,https://ke-image.ljcdn.com/500000-frame/15f05ad6-e842-43be-bfd0-47f01fa39333.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭清水电梯房三室，随时看房,80万,高楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 115.2平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/f28d64d4-4da1-4802-96f2-d8f79b518bb9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,出售祥瑞水木年华湖上装修好的三室,82万,中楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 118平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/cad63e38-25f2-47a4-beb4-c872798d8c70.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭1楼带花园洋房，精装三层；大厨房；带娱乐室,370万,低楼层(共6层)                                                    | 2010年建 |                                 4室2厅 | 255.89平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/5a27da8b-68d1-4d0a-b17e-e4d6424f23bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上带装修两房，满2年,55.6万,高楼层(共7层)                                                    | 2007年建 |                                 2室2厅 | 92.87平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/92970b69-2857-4b24-b32a-8ceeced8f383.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑精装三室+带双阳台+主卧落地窗视野开阔,66万,中楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 133.2平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/87ce6d46-a711-43c5-afdd-f42a68cc9cc7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上  带装修三室  提前联系可以看房,95万,高楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 120平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/2744f2c0-59b2-4bfd-827c-1be216cbb351.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,正规三房，一楼带一个花园  ，,97万,低楼层(共7层)                                                    | 2005年建 |                                 3室1厅 | 131平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/6a9bba17-b49a-49e1-9d19-72819f3a990c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,港龙购物广场旁边的一个优质小区,56.6万,中楼层(共32层)                                                    | 2017年建 |                                 2室1厅 | 67平米                                  | 东,https://ke-image.ljcdn.com/hdic-frame/0c06e7c1-ee06-4f61-b924-dadf3433cecb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房是装修2房 家具家电齐全  拎包入住,58万,低楼层(共27层)                                                    | 2007年建 |                                 2室2厅 | 80平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/480148d2-c6e3-4324-8329-6f28730a3735.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上 4室2厅 南 北,115万,低楼层(共12层)                                                    | 2008年建 |                                 4室2厅 | 131.79平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/958dd47d-4fe2-485f-8eba-d6a6cfbefc2b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿小区精装修，三室两厅，满2年,77万,中楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 123平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/d23cf7fa-7635-45ac-863b-dc4d2fcf08e2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上住家装修两房 户型好采光通透 电梯房低楼层新上,58万,低楼层(共34层)                                                    | 2008年建 |                                 2室1厅 | 88.93平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/1ce67881-1f72-4881-a878-60aeeac0bf1f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,江津祥瑞水木年华湖上装修好的三室带家电家具出售,95万,低楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 135平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/4fad8766-bada-4b1b-8869-4dee52d648da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,出售祥瑞水木年华青木苑装修好的四室带家电家具,85.8万,高楼层(共7层)                                                    | 2005年建 |                                 4室2厅 | 136平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/070a9e8a-5b71-42f8-8d9e-e16dcb3dd8f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑 2室2厅 东新上,53.8万,中楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 76平米                                  | 东,https://ke-image.ljcdn.com/hdic-frame/210a456b-2e58-4058-98be-4bd36fcd5b06.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房户型方正，采光视野好，出行方便，交通便利。,75万,高楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 123平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/e0f7f172-339e-45b5-897b-a46c5c71d0d1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭顶跃带装修出售 带有屋顶花园,220万,高楼层(共6层)                                                    | 2010年建 |                                 3室2厅 | 106平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,水木年华湖上带装修电梯两房安心出售,53.8万,中楼层(共34层)                                                    | 2008年建 |                                 2室1厅 | 73.86平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,朗苑，出行方便，适合居家，，，，，,31万,高楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 46平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,温馨单间配套小居室，出行方便，环境优美。,21万,低楼层(共32层)                                                    | 2011年建 |                                 1室0厅 | 31平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,朗苑带装修出售采光好户型方正可直接入住,65万,高楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 60平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,此房楼层好 视野开阔 采光好 交通便利,67万,中楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 86平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,水木年华湖上 住家装修三室  有家具家电,86万,中楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 121.84平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,家电齐全，户型方正，交通便利。,22万,中楼层(共32层)                                                    | 2011年建 |                                 1室0厅 | 30.5平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,琅苑精装两房 诚心出售 交通方便,68万,低楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 85平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,水木年华湖上 3室2厅 北新上,73万,中楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 118.8平米                                  | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,园丁大厦装修三室，可拎包入住。,83万,低楼层(共28层)                                                    | 2005年建 |                                 4室2厅 | 138平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,水木年华青木苑电梯房精装四室167平方,128万,低楼层(共33层)                                                    | 2005年建 |                                 4室2厅 | 167平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,该房是一室装修房，业主安心卖看房方便。,26万,高楼层(共32层)                                                    | 2011年建 |                                 1室0厅 | 30平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,水木年华青木苑 3室2厅 东南,80万,高楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 111平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,满五唯一，精装修，带家具家电。,90万,低楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 139平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,全是实木地板的装修的房子，拎包入住,78万,高楼层(共27层)                                                    | 2007年建 |                                 4室2厅 | 123平米                                  | 西南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,江津,祥瑞片区,房子电梯房中间楼层，满两年，带家具电器,85万,高楼层(共18层)                                                    | 2011年建 |                                 3室2厅 | 74平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
